year,economicActivity,employment,hours_worked
2001,Computer systems design and related services,166670,5.227
2002,Computer systems design and related services,171990,5.241
2003,Computer systems design and related services,185040,5.107
2004,Computer systems design and related services,182430,5.195
2005,Computer systems design and related services,182500,5.129
2006,Computer systems design and related services,182215,5.132
2007,Computer systems design and related services,189800,5.101
2008,Computer systems design and related services,192835,5.101
2009,Computer systems design and related services,197935,5.044
2010,Computer systems design and related services,197650,5.03
2011,Computer systems design and related services,213695,5.047
2012,Computer systems design and related services,213300,5.134
2013,Computer systems design and related services,233735,5.205
2014,Computer systems design and related services,244635,5.088
2015,Computer systems design and related services,250500,5.123
2016,Computer systems design and related services,269635,5.129
2017,Computer systems design and related services,285895,5.079
2018,Computer systems design and related services,308935,5.167
2019,Computer systems design and related services,333780,5.068
1997,"Advertising, public relations, and related services",43715,4.688
1998,"Advertising, public relations, and related services",43125,4.6
1999,"Advertising, public relations, and related services",43670,4.69
2000,"Advertising, public relations, and related services",44990,4.562
2001,"Advertising, public relations, and related services",46820,4.573
2002,"Advertising, public relations, and related services",47245,4.468
2003,"Advertising, public relations, and related services",51715,4.34
2004,"Advertising, public relations, and related services",51265,4.592
2005,"Advertising, public relations, and related services",53825,4.638
2006,"Advertising, public relations, and related services",55975,4.649
2007,"Advertising, public relations, and related services",55545,4.773
2008,"Advertising, public relations, and related services",58650,4.71
2009,"Advertising, public relations, and related services",60550,4.778
2010,"Advertising, public relations, and related services",63080,4.564
2011,"Advertising, public relations, and related services",62175,4.605
2012,"Advertising, public relations, and related services",63225,4.567
2013,"Advertising, public relations, and related services",66795,4.614
2014,"Advertising, public relations, and related services",70160,4.573
2015,"Advertising, public relations, and related services",70120,4.811
2016,"Advertising, public relations, and related services",66350,4.614
2017,"Advertising, public relations, and related services",67895,4.679
2018,"Advertising, public relations, and related services",67010,4.701
2019,"Advertising, public relations, and related services",68770,4.589
1997,Administrative and support services,522665,4.321
1998,Administrative and support services,573125,4.288
1999,Administrative and support services,647435,4.282
2000,Administrative and support services,670190,4.279
2001,Administrative and support services,673915,4.301
2002,Administrative and support services,730940,4.288
2003,Administrative and support services,757660,4.304
2004,Administrative and support services,776105,4.34
2005,Administrative and support services,810710,4.332
2006,Administrative and support services,837790,4.342
2007,Administrative and support services,841515,4.397
2008,Administrative and support services,870115,4.364
2009,Administrative and support services,828355,4.318
2010,Administrative and support services,853695,4.293
2011,Administrative and support services,857815,4.271
2012,Administrative and support services,869770,4.282
2013,Administrative and support services,887570,4.282
2014,Administrative and support services,920975,4.252
2015,Administrative and support services,918275,4.321
2016,Administrative and support services,925275,4.277
2017,Administrative and support services,909030,4.255
2018,Administrative and support services,909920,4.268
2019,Administrative and support services,941295,4.208
1997,Waste management and remediation services,41705,4.334
1998,Waste management and remediation services,39270,4.534
1999,Waste management and remediation services,36230,4.745
2000,Waste management and remediation services,29520,4.918
2001,Waste management and remediation services,26130,5.307
2002,Waste management and remediation services,27110,5.414
2003,Waste management and remediation services,27565,5.589
2004,Waste management and remediation services,28385,5.589
2005,Waste management and remediation services,29235,5.395
2006,Waste management and remediation services,32050,5.351
2007,Waste management and remediation services,32350,5.334
2008,Waste management and remediation services,35550,5.277
2009,Waste management and remediation services,35050,5.351
2010,Waste management and remediation services,35600,5.318
2011,Waste management and remediation services,37230,5.293
2012,Waste management and remediation services,38630,5.485
2013,Waste management and remediation services,41235,5.501
2014,Waste management and remediation services,42135,5.422
2015,Waste management and remediation services,45415,5.397
2016,Waste management and remediation services,49500,5.392
2017,Waste management and remediation services,51365,5.518
2018,Waste management and remediation services,53200,5.581
2019,Waste management and remediation services,56165,5.315
1997,Universities,192160,4.455
1998,Universities,201780,4.438
1999,Universities,215510,4.51
2000,Universities,230215,4.359
2001,Universities,241280,4.323
2002,Universities,260985,4.247
2003,Universities,272545,4.293
2004,Universities,284200,4.244
2005,Universities,290655,4.263
2006,Universities,298030,4.197
2007,Universities,301160,4.312
2008,Universities,305515,4.304
2009,Universities,304480,4.249
2010,Universities,302275,4.211
2011,Universities,300990,4.255
2012,Universities,303980,4.266
2013,Universities,307095,4.178
2014,Universities,311510,4.112
2015,Universities,311110,4.14
2016,Universities,315240,4.236
2017,Universities,313845,4.159
2018,Universities,326330,4.162
2019,Universities,338740,4.126
1997,Educational services (except universities),804900,4.304
1998,Educational services (except universities),819160,4.296
1999,Educational services (except universities),820105,4.279
2000,Educational services (except universities),822745,4.279
2001,Educational services (except universities),851020,4.255
2002,Educational services (except universities),876730,4.225
2003,Educational services (except universities),888560,4.184
2004,Educational services (except universities),894010,4.129
2005,Educational services (except universities),911350,4.151
2006,Educational services (except universities),925135,4.156
2007,Educational services (except universities),947060,4.137
2008,Educational services (except universities),963845,4.222
2009,Educational services (except universities),979605,4.115
2010,Educational services (except universities),981215,4.142
2011,Educational services (except universities),989405,4.101
2012,Educational services (except universities),1004200,4.162
2013,Educational services (except universities),1027830,4.099
2014,Educational services (except universities),1040840,4.071
2015,Educational services (except universities),1048370,4.11
2016,Educational services (except universities),1068750,4.052
2017,Educational services (except universities),1083980,4.003
2018,Educational services (except universities),1111760,4.082
2019,Educational services (except universities),1146700,3.997
1997,Health care,1165265,4.414
1998,Health care,1180835,4.395
1999,Health care,1211515,4.43
2000,Health care,1255490,4.411
2001,Health care,1272985,4.381
2002,Health care,1308170,4.31
2003,Health care,1339790,4.299
2004,Health care,1341665,4.326
2005,Health care,1356275,4.277
2006,Health care,1390770,4.329
2007,Health care,1464120,4.34
2008,Health care,1490015,4.364
2009,Health care,1522300,4.373
2010,Health care,1536915,4.348
2011,Health care,1563340,4.34
2012,Health care,1581250,4.375
2013,Health care,1613040,4.337
2014,Health care,1639520,4.315
2015,Health care,1679945,4.34
2016,Health care,1733030,4.364
2017,Health care,1763965,4.359
2018,Health care,1810115,4.411
2019,Health care,1832520,4.367
1997,Social assistance,222660,4.356
1998,Social assistance,242340,4.381
1999,Social assistance,241295,4.504
2000,Social assistance,252150,4.452
2001,Social assistance,257040,4.452
2002,Social assistance,267070,4.436
2003,Social assistance,277090,4.397
2004,Social assistance,284420,4.405
2005,Social assistance,286385,4.419
2006,Social assistance,294395,4.397
2007,Social assistance,306305,4.482
2008,Social assistance,313270,4.433
2009,Social assistance,320940,4.449
2010,Social assistance,341995,4.414
2011,Social assistance,349040,4.37
2012,Social assistance,347175,4.4
2013,Social assistance,355545,4.403
2014,Social assistance,358500,4.37
2015,Social assistance,367845,4.348
2016,Social assistance,381865,4.384
2017,Social assistance,393915,4.384
2018,Social assistance,406065,4.37
2019,Social assistance,419790,4.296
1997,"Performing arts, spectator sports and related industries, and heritage institutions",93805,4.099
1998,"Performing arts, spectator sports and related industries, and heritage institutions",107255,4.123
1999,"Performing arts, spectator sports and related industries, and heritage institutions",112550,4.153
2000,"Performing arts, spectator sports and related industries, and heritage institutions",117225,4.277
2001,"Performing arts, spectator sports and related industries, and heritage institutions",124490,4.288
2002,"Performing arts, spectator sports and related industries, and heritage institutions",134020,4.255
2003,"Performing arts, spectator sports and related industries, and heritage institutions",138120,4.126
2004,"Performing arts, spectator sports and related industries, and heritage institutions",144625,4.181
2005,"Performing arts, spectator sports and related industries, and heritage institutions",132645,4.03
2006,"Performing arts, spectator sports and related industries, and heritage institutions",134420,4.011
2007,"Performing arts, spectator sports and related industries, and heritage institutions",137600,4.071
2008,"Performing arts, spectator sports and related industries, and heritage institutions",143330,4.099
2009,"Performing arts, spectator sports and related industries, and heritage institutions",147175,3.951
2010,"Performing arts, spectator sports and related industries, and heritage institutions",140255,4
2011,"Performing arts, spectator sports and related industries, and heritage institutions",138940,3.953
2012,"Performing arts, spectator sports and related industries, and heritage institutions",133190,3.912
2013,"Performing arts, spectator sports and related industries, and heritage institutions",140125,3.989
2014,"Performing arts, spectator sports and related industries, and heritage institutions",137765,3.929
2015,"Performing arts, spectator sports and related industries, and heritage institutions",144715,3.918
2016,"Performing arts, spectator sports and related industries, and heritage institutions",155080,3.901
2017,"Performing arts, spectator sports and related industries, and heritage institutions",154390,3.871
2018,"Performing arts, spectator sports and related industries, and heritage institutions",158050,3.942
2019,"Performing arts, spectator sports and related industries, and heritage institutions",161775,3.923
1997,"Amusement, gambling and recreation industries",115745,4.375
1998,"Amusement, gambling and recreation industries",120985,4.318
1999,"Amusement, gambling and recreation industries",132935,4.26
2000,"Amusement, gambling and recreation industries",133100,4.258
2001,"Amusement, gambling and recreation industries",139580,4.181
2002,"Amusement, gambling and recreation industries",154590,4.107
2003,"Amusement, gambling and recreation industries",156085,4.153
2004,"Amusement, gambling and recreation industries",165500,4.14
2005,"Amusement, gambling and recreation industries",168330,4.003
2006,"Amusement, gambling and recreation industries",171000,3.964
2007,"Amusement, gambling and recreation industries",171260,3.945
2008,"Amusement, gambling and recreation industries",169940,3.964
2009,"Amusement, gambling and recreation industries",171125,3.893
2010,"Amusement, gambling and recreation industries",172695,3.871
2011,"Amusement, gambling and recreation industries",174645,3.83
2012,"Amusement, gambling and recreation industries",176695,3.827
2013,"Amusement, gambling and recreation industries",184270,3.742
2014,"Amusement, gambling and recreation industries",185305,3.723
2015,"Amusement, gambling and recreation industries",193115,3.795
2016,"Amusement, gambling and recreation industries",201650,3.729
2017,"Amusement, gambling and recreation industries",208935,3.625
2018,"Amusement, gambling and recreation industries",208695,3.718
2019,"Amusement, gambling and recreation industries",216095,3.671
1997,Accommodation services,195160,4.816
1998,Accommodation services,203755,4.934
1999,Accommodation services,199390,4.833
2000,Accommodation services,196360,4.852
2001,Accommodation services,190080,4.745
2002,Accommodation services,193415,4.649
2003,Accommodation services,186375,4.69
2004,Accommodation services,192335,4.688
2005,Accommodation services,194405,4.649
2006,Accommodation services,197240,4.636
2007,Accommodation services,201000,4.699
2008,Accommodation services,210455,4.611
2009,Accommodation services,197110,4.578
2010,Accommodation services,206885,4.529
2011,Accommodation services,207325,4.499
2012,Accommodation services,207975,4.548
2013,Accommodation services,194450,4.597
2014,Accommodation services,191440,4.499
2015,Accommodation services,189330,4.51
2016,Accommodation services,198085,4.512
2017,Accommodation services,197960,4.507
2018,Accommodation services,198000,4.463
2019,Accommodation services,198955,4.425
1997,Food services and drinking places,712730,4.23
1998,Food services and drinking places,723540,4.326
1999,Food services and drinking places,753700,4.26
2000,Food services and drinking places,791250,4.195
2001,Food services and drinking places,793540,4.134
2002,Food services and drinking places,817715,4.047
2003,Food services and drinking places,812270,4.068
2004,Food services and drinking places,815940,4.055
2005,Food services and drinking places,829540,3.981
2006,Food services and drinking places,831470,4.005
2007,Food services and drinking places,844940,4.016
2008,Food services and drinking places,877240,3.959
2009,Food services and drinking places,882935,3.899
2010,Food services and drinking places,908245,3.844
2011,Food services and drinking places,925925,3.838
2012,Food services and drinking places,947160,3.885
2013,Food services and drinking places,981690,3.858
2014,Food services and drinking places,1015045,3.858
2015,Food services and drinking places,1061830,3.858
2016,Food services and drinking places,1087630,3.825
2017,Food services and drinking places,1104195,3.808
2018,Food services and drinking places,1106245,3.849
2019,Food services and drinking places,1101980,3.795
1997,Repair and maintenance,152480,5.493
1998,Repair and maintenance,162460,5.474
1999,Repair and maintenance,187585,5.419
2000,Repair and maintenance,194775,5.46
2001,Repair and maintenance,200670,5.397
2002,Repair and maintenance,208260,5.31
2003,Repair and maintenance,213175,5.238
2004,Repair and maintenance,211320,5.299
2005,Repair and maintenance,209495,5.285
2006,Repair and maintenance,209180,5.244
2007,Repair and maintenance,212210,5.227
2008,Repair and maintenance,212910,5.279
2009,Repair and maintenance,210495,5.071
2010,Repair and maintenance,217755,5.118
2011,Repair and maintenance,222040,5.184
2012,Repair and maintenance,228225,5.159
2013,Repair and maintenance,226205,5.178
2014,Repair and maintenance,223975,5.214
2015,Repair and maintenance,230835,5.101
2016,Repair and maintenance,233205,5.085
2017,Repair and maintenance,237905,5.025
2018,Repair and maintenance,238480,5.115
2019,Repair and maintenance,238735,5.077
1997,Personal services and private households,317235,4.605
1998,Personal services and private households,318440,4.499
1999,Personal services and private households,307680,4.767
2000,Personal services and private households,294510,4.696
2001,Personal services and private households,297995,4.677
2002,Personal services and private households,304595,4.581
2003,Personal services and private households,304275,4.559
2004,Personal services and private households,306915,4.537
2005,Personal services and private households,308365,4.438
2006,Personal services and private households,320325,4.523
2007,Personal services and private households,329330,4.562
2008,Personal services and private households,345870,4.534
2009,Personal services and private households,357080,4.482
2010,Personal services and private households,360670,4.438
2011,Personal services and private households,356505,4.433
2012,Personal services and private households,361605,4.425
2013,Personal services and private households,364880,4.359
2014,Personal services and private households,350065,4.427
2015,Personal services and private households,376010,4.282
2016,Personal services and private households,369530,4.34
2017,Personal services and private households,377265,4.282
2018,Personal services and private households,379325,4.285
2019,Personal services and private households,387410,4.263
1997,"Religious, grant-making, civic, and professional and similar organizations",226050,4.679
1998,"Religious, grant-making, civic, and professional and similar organizations",232820,4.732
1999,"Religious, grant-making, civic, and professional and similar organizations",245715,4.699
2000,"Religious, grant-making, civic, and professional and similar organizations",244160,4.674
2001,"Religious, grant-making, civic, and professional and similar organizations",245515,4.611
2002,"Religious, grant-making, civic, and professional and similar organizations",254745,4.63
2003,"Religious, grant-making, civic, and professional and similar organizations",257610,4.581
2004,"Religious, grant-making, civic, and professional and similar organizations",254855,4.573
2005,"Religious, grant-making, civic, and professional and similar organizations",255975,4.655
2006,"Religious, grant-making, civic, and professional and similar organizations",258820,4.603
2007,"Religious, grant-making, civic, and professional and similar organizations",267495,4.532
2008,"Religious, grant-making, civic, and professional and similar organizations",273470,4.479
2009,"Religious, grant-making, civic, and professional and similar organizations",272470,4.433
2010,"Religious, grant-making, civic, and professional and similar organizations",267860,4.392
2011,"Religious, grant-making, civic, and professional and similar organizations",272715,4.441
2012,"Religious, grant-making, civic, and professional and similar organizations",283695,4.419
2013,"Religious, grant-making, civic, and professional and similar organizations",294165,4.449
2014,"Religious, grant-making, civic, and professional and similar organizations",295685,4.4
2015,"Religious, grant-making, civic, and professional and similar organizations",292585,4.364
2016,"Religious, grant-making, civic, and professional and similar organizations",285460,4.321
2017,"Religious, grant-making, civic, and professional and similar organizations",289695,4.29
2018,"Religious, grant-making, civic, and professional and similar organizations",290090,4.288
2019,"Religious, grant-making, civic, and professional and similar organizations",291865,4.241
1997,Federal government public administration,315650,4.921
1998,Federal government public administration,309310,4.814
1999,Federal government public administration,306700,4.89
2000,Federal government public administration,314330,4.811
2001,Federal government public administration,317005,4.792
2002,Federal government public administration,328675,4.721
2003,Federal government public administration,334580,4.655
2004,Federal government public administration,334640,4.666
2005,Federal government public administration,340650,4.619
2006,Federal government public administration,354080,4.63
2007,Federal government public administration,355605,4.636
2008,Federal government public administration,366710,4.641
2009,Federal government public administration,382320,4.663
2010,Federal government public administration,387545,4.693
2011,Federal government public administration,390690,4.726
2012,Federal government public administration,376025,4.603
2013,Federal government public administration,360365,4.553
2014,Federal government public administration,358605,4.608
2015,Federal government public administration,360775,4.529
2016,Federal government public administration,369670,4.54
2017,Federal government public administration,373315,4.499
2018,Federal government public administration,386130,4.515
2019,Federal government public administration,403260,4.43
1997,Provincial and territorial public administration,237050,4.855
1998,Provincial and territorial public administration,233030,4.871
1999,Provincial and territorial public administration,238400,4.83
2000,Provincial and territorial public administration,240685,4.868
2001,Provincial and territorial public administration,242790,4.836
2002,Provincial and territorial public administration,235090,4.797
2003,Provincial and territorial public administration,243215,4.726
2004,Provincial and territorial public administration,240515,4.759
2005,Provincial and territorial public administration,244115,4.699
2006,Provincial and territorial public administration,246695,4.742
2007,Provincial and territorial public administration,251490,4.784
2008,Provincial and territorial public administration,258390,4.753
2009,Provincial and territorial public administration,257610,4.77
2010,Provincial and territorial public administration,259675,4.778
2011,Provincial and territorial public administration,261750,4.704
2012,Provincial and territorial public administration,254370,4.699
2013,Provincial and territorial public administration,252810,4.679
2014,Provincial and territorial public administration,249030,4.701
2015,Provincial and territorial public administration,245150,4.647
2016,Provincial and territorial public administration,247305,4.663
2017,Provincial and territorial public administration,250965,4.674
2018,Provincial and territorial public administration,256590,4.679
2019,Provincial and territorial public administration,257615,4.671
1997,"Local, municipal, regional and aboriginal public administration",323345,4.77
1998,"Local, municipal, regional and aboriginal public administration",320240,4.734
1999,"Local, municipal, regional and aboriginal public administration",328900,4.737
2000,"Local, municipal, regional and aboriginal public administration",346235,4.704
2001,"Local, municipal, regional and aboriginal public administration",357880,4.666
2002,"Local, municipal, regional and aboriginal public administration",366835,4.668
2003,"Local, municipal, regional and aboriginal public administration",378790,4.699
2004,"Local, municipal, regional and aboriginal public administration",390155,4.685
2005,"Local, municipal, regional and aboriginal public administration",401805,4.595
2006,"Local, municipal, regional and aboriginal public administration",402435,4.658
2007,"Local, municipal, regional and aboriginal public administration",418515,4.729
2008,"Local, municipal, regional and aboriginal public administration",446410,4.71
2009,"Local, municipal, regional and aboriginal public administration",484200,4.715
2010,"Local, municipal, regional and aboriginal public administration",483970,4.677
2011,"Local, municipal, regional and aboriginal public administration",483150,4.682
2012,"Local, municipal, regional and aboriginal public administration",478860,4.666
2013,"Local, municipal, regional and aboriginal public administration",486140,4.674
2014,"Local, municipal, regional and aboriginal public administration",482975,4.668
2015,"Local, municipal, regional and aboriginal public administration",481990,4.658
2016,"Local, municipal, regional and aboriginal public administration",493120,4.666
2017,"Local, municipal, regional and aboriginal public administration",508480,4.633
2018,"Local, municipal, regional and aboriginal public administration",513165,4.677
2019,"Local, municipal, regional and aboriginal public administration",526435,4.712
